Lat,Lon,Chi
54.5250443,0.6437601,-1893867.2
54.3903633,0.6010594,-1874550.1
54.4823128,0.745777,-1899193.0
54.4797927,0.6220807,-1886263.0
54.522308,0.6980158,-1899063.1
54.5332406,0.5518463,-1880680.0
54.4011709,0.6831353,-1887606.2
54.4215202,0.6914337,-1889961.5
54.3593287,0.6234958,-1875004.1
54.4676465,0.6935978,-1894063.9
54.5020867,0.5723789,-1880832.5
54.3967473,0.5483391,-1867145.8
54.5008174,0.6759464,-1895587.6
54.4956271,0.6483314,-1891759.6
54.4724109,0.6357476,-1887636.2
54.4839162,0.6379085,-1889060.5
54.4839808,0.6859789,-1894894.2
54.5405268,0.7603401,-1905249.4
54.4022843,0.671851,-1886443.9
54.425283,0.6196921,-1880707.9
54.5436196,0.5715751,-1884666.4
54.5207873,0.7601823,-1903550.9
54.4884384,0.7665256,-1901258.1
54.3640124,0.5637074,-1866364.4
54.4630731,0.5713806,-1876964.8
54.3496214,0.5720447,-1866260.4
54.3511582,0.5918095,-1869410.9
54.4417265,0.5345823,-1869339.6
54.4962612,0.5975894,-1884109.1
54.3964351,0.6447539,-1881769.0
54.4913646,0.5718134,-1879725.1
54.4745779,0.7660064,-1900034.8
54.4153949,0.700019,-1890075.5
54.4408317,0.7171173,-1893519.4
54.4377824,0.7195836,-1893441.9
54.5064203,0.6697624,-1895607.4
54.4327959,0.7062375,-1892024.2
54.3535127,0.6193234,-1873815.9
54.3942023,0.5564544,-1868137.2
54.4416789,0.5973248,-1878870.2
54.384792,0.6092709,-1875267.1
54.3765692,0.6528238,-1881103.5
54.4109965,0.6551243,-1884732.1
54.5379849,0.7810259,-1906569.0
54.4534881,0.6578288,-1889189.6
54.4953754,0.5835559,-1881891.9
54.5261194,0.5361005,-1877607.8
54.5072528,0.6231291,-1889037.5
54.5173312,0.6743841,-1896882.9
54.5115134,0.6974893,-1898101.9
54.5294792,0.6510183,-1895392.6
54.5425831,0.704364,-1901267.2
54.5068073,0.6129816,-1887452.2
54.4504487,0.6369432,-1885725.6
54.5233908,0.609389,-1888486.0
54.4267171,0.5747611,-1874015.9
54.4499464,0.71479,-1894125.8
54.4551117,0.6022645,-1880900.4
54.5197431,0.6329088,-1891713.1
54.5087748,0.5507683,-1878185.2
54.3971568,0.6736129,-1886223.5
54.4670769,0.6563949,-1890266.5
54.5225158,0.5806336,-1884032.9
54.4774482,0.6112013,-1884385.9
54.5231439,0.5705657,-1882562.6
54.5266697,0.7577044,-1903869.8
54.3980665,0.5620413,-1869355.1
54.5389656,0.5497917,-1880912.1
54.5200242,0.7687854,-1904124.9
54.5141777,0.726993,-1900520.5
54.4215122,0.5450661,-1869007.8
54.543353,0.7225378,-1902683.4
54.4704285,0.6330733,-1887040.9
54.4656171,0.6553279,-1889965.1
54.5298021,0.6759418,-1898063.6
54.5424348,0.6353601,-1894246.9
54.4646087,0.5933298,-1880447.2
54.4657661,0.6217542,-1884877.0
54.5242015,0.7720667,-1904724.9
54.4776573,0.5419608,-1873883.0
54.406901,0.5473045,-1867955.9
54.472098,0.7092186,-1895604.8
54.4583452,0.6877864,-1892837.2
54.4776248,0.550326,-1875150.6
54.5038588,0.5837053,-1882722.4
54.3553016,0.5742314,-1867133.8
54.4628801,0.5694703,-1876656.0
54.4592369,0.7290002,-1895975.1
54.4888783,0.5631642,-1878173.9
54.4320934,0.6314611,-1883145.0
54.4706733,0.5972637,-1881622.2
54.3776233,0.5873019,-1871246.4
54.4774461,0.5400335,-1873570.0
54.489134,0.7785254,-1902208.8
54.4460406,0.5733207,-1875637.8
54.5420042,0.6607679,-1897979.2
54.4807037,0.6715907,-1893545.0
54.4951608,0.5355416,-1874574.2
54.5158752,0.719488,-1900108.8
54.5057865,0.6053003,-1886187.8
54.4820319,0.7020166,-1895918.8
54.4696181,0.7235483,-1896457.6
54.3690194,0.5518558,-1865039.2
54.4535087,0.6845378,-1892182.9
54.3902349,0.6053492,-1875189.6
54.5390267,0.6063672,-1889515.6
54.3615096,0.6240813,-1875301.8
54.3837915,0.6350377,-1879088.8
54.471869,0.7428697,-1898084.9
54.4358154,0.530516,-1868158.4
54.5023361,0.5303325,-1874466.5
54.4423132,0.7140071,-1893415.6
54.417153,0.6547979,-1885268.2
54.4014569,0.649438,-1882959.0
54.4724496,0.7619727,-1899553.4
54.4715675,0.5777637,-1878744.1
54.3496585,0.6034267,-1871033.2
54.4253025,0.6029954,-1878171.2
54.432826,0.6685343,-1888849.5
54.4788138,0.557872,-1876411.2
54.4388836,0.6412277,-1885276.1
54.4348413,0.7088399,-1892392.8
54.493878,0.5846352,-1881913.0
54.5397226,0.7399689,-1903667.5
54.5021334,0.7754378,-1903090.0
54.3657914,0.5603696,-1866025.9
54.3971943,0.6531692,-1883120.1
54.4591443,0.5365231,-1871293.5
54.4392143,0.6869492,-1891140.4
54.3419076,0.5901194,-1868272.1
54.5054827,0.6913603,-1897130.9
54.3859245,0.6105288,-1875567.0
54.5223365,0.7315709,-1901557.9
54.4956867,0.7487128,-1900553.9
54.3633771,0.6038637,-1872406.2
54.5246267,0.5870263,-1885205.2
54.4868169,0.5415874,-1874698.5
54.4264385,0.6857582,-1889960.5
54.4475595,0.7353041,-1895445.5
54.5432877,0.7583309,-1905335.9
54.5210866,0.7533715,-1903070.8
54.4117498,0.6901304,-1889029.9
54.4942128,0.6200079,-1887320.9
54.4723293,0.6337202,-1887320.0
54.434343,0.573389,-1874533.4
54.4358324,0.678924,-1890255.4
54.4440009,0.5465538,-1871375.2
54.395512,0.6203051,-1877965.1
54.4025502,0.5629989,-1869926.9
54.4309454,0.7137795,-1892427.1
54.394529,0.5332882,-1864647.5
54.5141238,0.676724,-1896782.0
54.4668082,0.7590149,-1898851.4
54.4364873,0.7223973,-1893540.4
54.3823697,0.5755563,-1869913.4
54.4645212,0.557798,-1875038.9
54.4395373,0.6825284,-1890840.4
54.4562582,0.5408191,-1871670.9
54.440246,0.6381227,-1884934.1
54.4710746,0.7497318,-1898526.4
54.4635323,0.6882036,-1893312.1
54.4339159,0.5966947,-1878034.5
54.4770325,0.5383252,-1873270.5
54.5235164,0.6719447,-1897229.5
54.3953144,0.5536117,-1867811.2
54.4129588,0.6871115,-1888909.1
54.44018,0.594284,-1878265.1
54.3555498,0.5844824,-1868715.5
54.3833202,0.6585733,-1882620.2
54.3612011,0.6283412,-1875919.2
54.4312574,0.7194904,-1892878.1
54.346589,0.6160667,-1872661.5
54.3565522,0.6254891,-1875042.1
54.4652847,0.544635,-1873111.2
54.4135013,0.6532362,-1884683.4
54.4382847,0.6332463,-1884005.8
54.467772,0.5554234,-1874988.1
54.3858101,0.5583661,-1867629.2
54.3524432,0.6201326,-1873837.8
54.4097726,0.6560007,-1884749.0
54.3740323,0.5596661,-1866704.4
54.4923909,0.6401069,-1890201.5
54.3827665,0.5952188,-1872939.9
54.4669904,0.6187766,-1884541.0
54.3683903,0.5373595,-1862777.0
54.4656204,0.7222177,-1896016.8
54.4389356,0.6161218,-1881465.0
54.3497405,0.5803626,-1867535.9
54.4312533,0.5358629,-1868536.1
54.5408191,0.7789766,-1906658.9
54.4109768,0.6864886,-1888692.9
54.4121839,0.6980661,-1889655.9
54.3593558,0.6193567,-1874377.9
54.4670838,0.5894274,-1880089.5
54.4407005,0.7360653,-1894915.9
54.3551194,0.5869489,-1869048.9
54.469798,0.7171546,-1895998.1
54.3830889,0.6604991,-1882891.2
54.5017604,0.6962132,-1897173.4
54.5270566,0.5961294,-1886820.5
54.5373389,0.5991632,-1888259.9
54.5089611,0.6239494,-1889324.5
54.5142803,0.7164461,-1899746.1
54.5038098,0.5627861,-1879539.1
54.5141307,0.699856,-1898501.2
