Lat,Lon,Chi
54.6720464,0.6924742,-1911447.2
54.6494432,0.5785968,-1895812.1
54.611427,0.6377274,-1901178.0
54.6280641,0.7243223,-1910054.4
54.6679052,0.6618308,-1908816.8
54.6418147,0.7269164,-1911422.5
54.6589201,0.6179017,-1902688.2
54.6288642,0.7804551,-1914292.9
54.6877014,0.6474695,-1909442.2
54.6847564,0.6832455,-1911847.9
54.6146913,0.6269408,-1899849.1
54.565756,0.7798691,-1908856.1
54.6358424,0.7795986,-1914825.1
54.5382331,0.7410287,-1903619.4
54.5648237,0.6631055,-1900103.2
54.6359278,0.6031264,-1898252.6
54.7043272,0.6542969,-1911369.2
54.5570293,0.6541053,-1898485.2
54.5566141,0.6627713,-1899376.6
54.6462253,0.6775428,-1908132.2
54.5583293,0.5630036,-1884764.6
54.6569675,0.5667619,-1894729.9
54.6489589,0.732232,-1912427.6
54.6962763,0.7610852,-1918614.6
54.6868777,0.5869914,-1900653.5
54.7068581,0.7133339,-1915971.5
54.7266329,0.5495598,-1898750.6
54.618819,0.7813653,-1913501.8
54.6557091,0.5991972,-1899539.2
54.6588361,0.6641993,-1908218.4
54.6455982,0.5772061,-1895234.5
54.5982072,0.7018887,-1905836.6
54.6886538,0.7308959,-1915720.0
54.5964605,0.7136486,-1906561.4
54.5800347,0.6520725,-1900368.4
54.6248295,0.5586636,-1890438.4
54.6070202,0.529608,-1884326.4
54.6803958,0.7789355,-1918583.2
54.606563,0.6496783,-1902530.1
54.7108661,0.6031916,-1905399.2
54.59411,0.7740754,-1910848.5
54.5766059,0.5874877,-1890225.9
54.6297554,0.7776646,-1914161.0
54.6815407,0.5635964,-1896589.6
54.5643286,0.7766467,-1908494.4
54.5812944,0.6805707,-1902808.4
54.6639216,0.7740103,-1916808.8
54.708666,0.6931467,-1914626.4
54.6856085,0.6804931,-1911716.1
54.7017605,0.6540981,-1911135.6
54.6443888,0.779748,-1915566.8
54.5535427,0.7027386,-1902083.1
54.7114775,0.5733109,-1900917.2
54.6447381,0.6618196,-1906836.5
54.7039253,0.5746177,-1900396.8
54.5603319,0.6978354,-1902298.9
54.5463138,0.7651849,-1906103.8
54.6574009,0.7114308,-1911603.8
54.6749244,0.6903998,-1911539.5
54.5622202,0.6461507,-1897771.5
54.6936556,0.6913913,-1913213.1
54.6368226,0.566701,-1892801.9
54.5706544,0.7050009,-1903713.6
54.7001768,0.6615387,-1911553.1
54.6967776,0.7290515,-1916277.2
54.6773754,0.7243205,-1914268.0
54.5595193,0.5704723,-1886012.9
54.6352794,0.6035964,-1898262.4
54.6856854,0.5542218,-1895559.8
54.6431904,0.7511439,-1913339.5
54.5544341,0.637124,-1895658.0
54.6606835,0.5350362,-1890262.9
54.7124699,0.5578625,-1898663.6
54.5395317,0.5807338,-1885668.8
54.6679699,0.7395424,-1914595.0
54.7125373,0.6693359,-1913188.4
54.6412221,0.6874905,-1908442.9
54.6810254,0.7175211,-1914075.1
54.6112676,0.6462668,-1902460.5
54.555274,0.5840638,-1887674.0
54.5572635,0.7419189,-1905311.2
54.5686616,0.6016055,-1891614.9
54.6085597,0.5432238,-1886541.6
54.5655837,0.7441175,-1906185.4
54.6266048,0.5741452,-1892960.8
54.595509,0.59056,-1892493.6
54.5959935,0.7055973,-1905922.8
54.6387534,0.7187292,-1910552.6
54.6808165,0.7003316,-1912779.9
54.602339,0.6863054,-1905032.1
54.5476932,0.6608445,-1898471.5
54.7053115,0.6409325,-1910461.1
54.6611418,0.5952952,-1899464.0
54.6265959,0.7715611,-1913437.5
54.6991501,0.6032946,-1904299.8
54.6546157,0.6273619,-1903716.5
54.5737616,0.5559415,-1885161.0
54.637546,0.6544525,-1905674.9
54.597746,0.7399793,-1908626.8
54.5872769,0.6469087,-1900272.2
54.5534017,0.5456043,-1881650.8
54.6196689,0.6989738,-1907453.8
54.5999616,0.5579083,-1887955.2
54.6955081,0.7777805,-1919789.0
54.6921582,0.6631551,-1910988.2
54.6579073,0.6081761,-1901113.2
54.5407106,0.714105,-1901830.8
54.6106838,0.7474781,-1910289.4
54.6870588,0.7635627,-1918010.4
54.665578,0.5668398,-1895561.9
54.5610965,0.6197178,-1893647.1
54.5485441,0.5931333,-1888411.2
54.5849164,0.585631,-1890735.6
54.616716,0.6695779,-1905017.9
54.649099,0.6922739,-1909471.0
54.6924468,0.7113319,-1914591.0
54.5507941,0.6292336,-1894112.5
54.6126016,0.6620905,-1904110.5
54.543892,0.6216765,-1892306.0
54.6867351,0.7469675,-1916749.8
54.6531641,0.7482208,-1913974.5
54.6378616,0.5387454,-1888652.8
54.5366664,0.7652125,-1905281.8
54.5569036,0.7088235,-1902822.2
54.5652666,0.5516658,-1883701.1
54.5884593,0.7676073,-1909885.8
54.5535758,0.7613456,-1906439.8
54.5444251,0.7323977,-1903507.5
54.6315694,0.7323362,-1910949.5
54.6147483,0.6164269,-1898256.5
54.5864075,0.530853,-1882552.4
54.6774415,0.5665647,-1896650.4
54.6592202,0.7688825,-1916027.0
54.6155448,0.760632,-1911681.4
54.6989824,0.7233632,-1916043.5
54.5737411,0.6545574,-1900145.8
54.6291696,0.6055301,-1897973.9
54.7008069,0.5537598,-1896929.2
54.559413,0.6691569,-1900090.2
54.6549596,0.538773,-1890285.1
54.6823688,0.7732673,-1918330.9
54.6081598,0.7030749,-1906775.2
54.6019222,0.6698017,-1903770.5
54.7090608,0.6487373,-1911361.6
54.6323694,0.7695209,-1913779.5
54.7165593,0.6454063,-1911755.0
54.7299887,0.5408698,-1897749.9
54.6784751,0.5427076,-1893122.9
54.5365777,0.7251786,-1902300.5
54.6037787,0.7272369,-1908195.6
54.5968784,0.5369681,-1884479.2
54.713561,0.5928056,-1904078.2
54.5537901,0.7361021,-1904582.8
54.7136562,0.6601549,-1912602.0
54.6671187,0.6245555,-1904480.1
54.6274269,0.6555131,-1904888.6
54.6949093,0.642212,-1909666.8
54.5975826,0.6015919,-1894367.0
54.609042,0.6374337,-1900905.9
54.5738525,0.7612006,-1908161.5
54.6555584,0.7611284,-1915138.4
54.6787457,0.7885351,-1919154.6
54.6808059,0.690308,-1912034.8
54.6009792,0.5886778,-1892727.9
54.6023346,0.5476977,-1886628.9
54.6699748,0.6308977,-1905715.9
54.5461226,0.5382077,-1879832.9
54.5748307,0.5341895,-1881956.9
54.646026,0.608438,-1900021.9
54.5926581,0.7687747,-1910330.9
54.6565042,0.5817886,-1896969.5
54.7148131,0.6298111,-1909821.2
54.6002683,0.6563147,-1902627.9
54.6339856,0.5259204,-1886334.8
54.6213606,0.5632792,-1890809.6
54.6851421,0.5756315,-1898761.5
54.7154399,0.5915436,-1904065.2
54.6997744,0.7543376,-1918412.4
54.630361,0.5504419,-1889715.5
54.6824814,0.6133829,-1904245.0
54.582844,0.5892143,-1891082.8
54.5349711,0.6889262,-1899470.2
54.7027642,0.5354724,-1894336.8
54.7109334,0.6200888,-1907973.6
54.5886047,0.7422756,-1908016.1
54.6075998,0.6593788,-1903481.5
54.7115448,0.6279691,-1909230.2
54.7073864,0.5341153,-1894570.6
54.6055675,0.7112504,-1907161.6
54.5764873,0.5854684,-1889907.6
54.6947467,0.5644448,-1897976.2
54.5990706,0.6970374,-1905549.9
54.6819235,0.7462545,-1916285.4
54.5999553,0.6377441,-1900087.1
54.7058879,0.6552837,-1911576.9
54.6317683,0.7866972,-1915004.4
54.6821069,0.5631821,-1896580.5
54.6566759,0.6110898,-1901439.2
54.6578227,0.7258802,-1912713.8
54.707572,0.7067367,-1915542.1
54.6818122,0.6243714,-1905851.1
54.7207228,0.5518753,-1898540.0
54.6592571,0.5293031,-1889255.4
54.5568996,0.671019,-1900014.2
54.6568875,0.7580398,-1915022.2
54.6593059,0.682823,-1909641.5
54.6593656,0.7750954,-1916501.4
54.7060706,0.6067188,-1905479.2
54.6939021,0.6766168,-1912136.9
54.6493662,0.7740105,-1915565.1
54.6799475,0.7623811,-1917315.2
54.6415975,0.6851592,-1908302.4
54.5751272,0.6724437,-1901677.8
54.6486215,0.7284576,-1912117.9
54.6461204,0.5872842,-1896815.8
54.6951702,0.7345466,-1916548.2
54.5652172,0.5747761,-1887209.1
54.6709347,0.7268829,-1913907.6
54.6983855,0.7450232,-1917601.8
54.5477343,0.6503777,-1897034.2
54.634841,0.6060014,-1898586.2
54.6607728,0.6880217,-1910153.0
54.7134493,0.5676597,-1900246.5
54.5603313,0.5720239,-1886325.9
54.6726375,0.7382746,-1914899.4
