Lat,Lon,Chi
54.41036001,1.170714689,-1902298.1
54.471399977,1.235406762,-1900888.8
54.480899416,1.354001961,-1891403.9
54.388058171,1.115581,-1905502.5
54.506201849,1.460968977,-1883931.9
54.439318745,1.342805792,-1889557.4
54.444617827,1.262271859,-1896790.1
54.472486927,1.269757928,-1898029.6
54.388511674,1.281954861,-1891328.6
54.503164285,1.211826265,-1905041.9
54.499288866,1.11937844,-1912673.8
54.495755674,1.210540357,-1904653.4
54.494998467,1.417224231,-1886957.0
54.463134914,1.115457814,-1910572.1
54.466183268,1.412438194,-1885423.4
54.497645063,1.465200378,-1882984.8
54.398306088,1.317003002,-1888997.1
54.430197071,1.270796382,-1895090.8
54.492994079,1.470442412,-1882214.1
54.47809378,1.127926412,-1910516.1
54.383704242,1.081659338,-1907059.6
54.491823059,1.362185608,-1891441.2
54.41627047,1.204541272,-1899808.8
54.419190388,1.347138026,-1887831.5
54.439549317,1.172327641,-1904127.9
54.467507827,1.29449632,-1895582.0
54.472835247,1.195146034,-1904422.6
54.40924931,1.153426511,-1903699.2
54.45354612,1.186768041,-1903838.1
54.411487448,1.289343752,-1892246.8
54.417898198,1.305797937,-1891274.0
54.447268671,1.365031932,-1888195.8
54.452727308,1.127902486,-1908808.4
54.43061101,1.09262408,-1910330.1
54.453047373,1.226076985,-1900448.8
54.391559725,1.230099741,-1895961.5
54.453953639,1.304552395,-1893809.6
54.400251893,1.069931539,-1907933.9
54.416375592,1.116478731,-1907334.6
54.402877718,1.075143406,-1908403.1
54.447782082,1.388739627,-1886205.9
54.42993391,1.323731562,-1890554.0
54.439607233,1.393426567,-1885255.8
54.387154182,1.336043424,-1886619.6
54.387651422,1.182431259,-1899767.9
54.423823417,1.153143097,-1904705.6
54.402137881,1.247678009,-1895173.4
54.47582313,1.098595752,-1912866.5
54.477886963,1.328961978,-1893338.8
54.444991199,1.39901956,-1885141.2
54.446012345,1.386269769,-1886298.2
54.38957149,1.279989831,-1891568.0
54.401472469,1.235245321,-1896190.9
54.504318982,1.217894665,-1904602.1
54.477981132,1.086546174,-1914041.4
54.504414142,1.19824211,-1906286.4
54.471797616,1.07843927,-1914316.9
54.486421869,1.212427134,-1903863.2
54.499011155,1.40792438,-1888021.0
54.480536771,1.087750717,-1914110.6
54.402334993,1.10770188,-1907137.5
54.502282719,1.083230449,-1915961.8
54.477881995,1.375801399,-1889339.6
54.418856907,1.21474158,-1899112.1
54.420383508,1.326309618,-1889690.5
54.41221144,1.090585592,-1909263.9
54.440315189,1.377080845,-1886699.0
54.501482734,1.302135654,-1897219.5
54.471642146,1.136592424,-1909341.5
54.503258284,1.345762864,-1893614.1
54.405140434,1.335957182,-1887839.1
54.484702094,1.240352383,-1901363.1
54.482701725,1.326067344,-1893910.5
54.445429115,1.222770381,-1900217.6
54.482000334,1.143515606,-1909447.6
54.39966166,1.147937523,-1903522.4
54.495943271,1.160427681,-1908944.0
54.49916682,1.224202147,-1903716.8
54.466614548,1.282591915,-1896537.5
54.4986525,1.43043094,-1886075.4
54.455989048,1.089473662,-1912309.2
54.445413916,1.288686995,-1894588.5
54.456139932,1.240177985,-1899452.9
54.467828173,1.337776536,-1891908.2
54.421688803,1.296672005,-1892308.0
54.460284482,1.358024873,-1889671.2
54.472164759,1.261694932,-1898696.1
54.425038407,1.359105168,-1887203.4
54.501237846,1.278145146,-1899250.6
54.457294957,1.325866613,-1892215.6
