Lat,Lon,Chi
53.8074414,1.4433368,-1838249.0
53.7515414,1.3640704,-1841373.0
53.7395146,1.446961,-1833343.1
53.8346345,1.2998929,-1852472.0
53.7381485,1.4096071,-1836502.6
53.8251067,1.5147001,-1833228.5
53.7317066,1.4499654,-1832553.9
53.8250918,1.3575922,-1846903.6
53.7400595,1.3726675,-1839848.9
53.7243717,1.4141614,-1835176.1
53.7386764,1.4577539,-1832346.8
53.7635307,1.3723382,-1841463.6
53.8016753,1.4031174,-1841360.8
53.7806308,1.2929196,-1849428.8
53.7699745,1.3103589,-1847221.2
53.7447799,1.4069974,-1837178.6
53.7789945,1.5273564,-1829010.5
53.8172797,1.5235565,-1831928.4
53.817832,1.2809768,-1852955.1
53.7337431,1.418699,-1835413.6
53.7261058,1.3334298,-1842295.1
53.7823083,1.4279842,-1837887.0
53.8076312,1.4821861,-1834878.9
53.7379558,1.3945028,-1837805.1
53.75118,1.4417024,-1834588.9
53.7448735,1.5179494,-1827524.0
53.825185,1.421769,-1841325.8
53.7553378,1.3721478,-1840925.9
53.7247658,1.4720473,-1830162.2
53.7281405,1.4795709,-1829735.0
53.7235166,1.4805665,-1829335.9
53.7605297,1.3309466,-1844827.5
53.7506457,1.3805071,-1839881.6
53.7303967,1.4848598,-1829426.6
53.7505847,1.4566041,-1833251.0
53.7275806,1.3721037,-1839054.8
53.7875495,1.2985081,-1849417.6
53.7348074,1.4390074,-1833717.2
53.7463135,1.3992271,-1837958.8
53.799083,1.3909981,-1842241.0
53.7996561,1.3055651,-1849631.0
53.8225947,1.3176994,-1850140.6
53.8340284,1.4056559,-1843326.5
53.7905803,1.3207032,-1847727.0
53.7587753,1.3164857,-1845944.1
53.8004038,1.4261454,-1839270.2
53.8328564,1.3105864,-1851439.9
53.807279,1.357668,-1845696.6
53.777938,1.3012276,-1848537.8
53.7547091,1.5347414,-1826726.1
53.7824106,1.4611538,-1835005.8
53.7965067,1.5310856,-1829869.2
53.7382356,1.4191365,-1835679.2
53.7324317,1.4371447,-1833719.1
53.7660393,1.3403417,-1844396.8
53.7289713,1.4439844,-1832889.4
53.7629657,1.3097901,-1846797.8
53.7378391,1.3481253,-1841831.4
53.8243853,1.27974,-1853502.5
53.7845012,1.4322617,-1837662.8
53.8210725,1.4080284,-1842243.8
53.8193255,1.2815838,-1853004.1
53.785227,1.5266154,-1829496.5
53.7980815,1.4553992,-1836566.1
53.7968968,1.4032441,-1841027.1
53.7319503,1.3160602,-1844172.2
53.7410405,1.4164801,-1836100.0
53.7678206,1.4642749,-1833748.4
53.7747752,1.4830213,-1832586.0
53.7603595,1.4929093,-1830750.6
53.7699863,1.365113,-1842528.8
53.7859936,1.3839247,-1841972.6
53.8017762,1.4923396,-1833599.0
53.7251243,1.4548694,-1831682.2
53.8149481,1.4848927,-1835137.6
53.7443229,1.3195787,-1844706.0
53.8303814,1.3757386,-1845684.8
53.7694615,1.4896464,-1831650.1
53.7378242,1.2898822,-1846803.0
53.7361631,1.4989172,-1828592.4
53.7382994,1.43806,-1834035.8
53.7219991,1.2958446,-1845227.6
53.8071023,1.3352994,-1847594.1
53.7605503,1.3547472,-1842793.6
53.7723075,1.3230288,-1846296.9
53.7653048,1.4639262,-1833609.0
53.81141,1.5322949,-1830771.1
53.8334918,1.4778059,-1837007.8
53.8281505,1.4335308,-1840501.9
53.8324685,1.4971571,-1835253.9
53.8107448,1.4628637,-1836772.0
53.7438986,1.3738482,-1840005.4
53.7727456,1.4045009,-1839285.9
53.7282994,1.4115427,-1835668.9
53.7725176,1.4357243,-1836551.9
53.8142086,1.4655141,-1836775.0
53.7562116,1.45425,-1833836.4
53.7578277,1.3985941,-1838791.8
53.7465988,1.4618267,-1832527.4
53.7851071,1.4935053,-1832370.9
53.7865029,1.3641101,-1843731.8
53.7438718,1.3677112,-1840538.1
53.743783,1.447691,-1833567.6
53.7690186,1.5353158,-1827643.4
53.8234496,1.5287507,-1831893.1
53.7857629,1.5247019,-1829698.8
53.7321166,1.4566131,-1832002.9
53.7250943,1.5024738,-1827534.6
53.8000714,1.4575566,-1836512.6
53.7542445,1.3793413,-1840226.2
53.7370772,1.4192964,-1835586.9
53.7466305,1.4070444,-1837299.9
53.815836,1.371788,-1845046.0
53.8170594,1.3451825,-1847421.4
53.8343527,1.4315454,-1841093.5
53.7523142,1.3959533,-1838649.4
53.7364735,1.5223981,-1826569.2
53.8056778,1.4799966,-1834937.9
53.7313207,1.513606,-1826986.0
53.7252916,1.4879478,-1828813.1
53.7553545,1.3779834,-1840419.6
53.7848126,1.4235532,-1838441.8
53.7251112,1.398131,-1836621.4
53.8210749,1.4949088,-1834679.6
53.7325939,1.4083451,-1836237.5
53.834451,1.4469432,-1839759.5
53.7424783,1.4588366,-1832509.4
53.7355019,1.4440932,-1833321.5
53.8298284,1.3238872,-1850100.2
53.7638326,1.3384815,-1844406.8
53.7676183,1.3787636,-1841180.6
53.7567854,1.3788813,-1840438.0
53.8355793,1.5143162,-1833969.6
53.7638223,1.4136181,-1837888.5
53.725394,1.4806316,-1829457.0
53.8227519,1.3472578,-1847627.8
53.7833492,1.2944697,-1849479.6
53.740324,1.4068032,-1836893.8
53.7229207,1.4835535,-1829035.4
53.7286161,1.5410202,-1824416.8
53.7346239,1.4083301,-1836376.1
53.7508376,1.3016778,-1846673.5
53.7242842,1.4487557,-1832157.2
53.835696,1.4987349,-1835334.0
53.8153866,1.4187713,-1840924.5
53.8073532,1.4401049,-1838524.5
53.7499848,1.2967301,-1847038.0
53.7582356,1.4860845,-1831201.4
53.7640065,1.4493498,-1834789.8
53.8128899,1.3505622,-1846681.4
53.7360748,1.463512,-1831669.8
53.7556439,1.3692502,-1841199.4
53.7468616,1.3378163,-1843319.6
53.7733124,1.5131439,-1829864.1
53.7238359,1.4612842,-1831036.5
53.7250261,1.476317,-1829807.5
53.7604213,1.3117704,-1846457.0
53.7960387,1.513853,-1831338.6
53.7391037,1.4251001,-1835218.6
53.7501102,1.4014717,-1838020.1
53.7915831,1.4886014,-1833235.6
53.7657905,1.3741086,-1841461.8
53.7362901,1.5096125,-1827670.0
53.7368798,1.4053742,-1836786.0
53.7233064,1.412079,-1835285.0
53.7521078,1.4428633,-1834550.6
53.7291756,1.4851544,-1829318.9
53.7668259,1.28102,-1849514.0
53.7280029,1.3069939,-1844680.5
53.7454345,1.5203864,-1827349.9
53.8211752,1.2888976,-1852504.0
53.7321732,1.483835,-1829636.1
53.7517824,1.3790429,-1840085.5
53.8213063,1.3445226,-1847763.6
53.7528774,1.3787158,-1840188.1
53.8074181,1.3682752,-1844783.1
53.7358748,1.454105,-1832475.0
53.793492,1.410051,-1840204.4
53.7408411,1.4417401,-1833887.0
53.757541,1.3430708,-1843591.0
53.7349972,1.509937,-1827554.6
53.8080698,1.43922,-1838649.4
53.749152,1.376427,-1840135.6
53.723878,1.4908634,-1828463.8
53.7530865,1.4546637,-1833588.9
53.7243568,1.4784716,-1829575.0
53.7356535,1.4105042,-1836256.5
53.7505703,1.5138,-1828270.5
53.7682268,1.4446986,-1835480.5
53.7218168,1.3579901,-1839894.1
53.7342905,1.3480354,-1841600.4
53.7269369,1.3609453,-1839982.4
53.7430368,1.4034039,-1837374.4
53.7741157,1.3157023,-1847044.2
53.7861538,1.4773761,-1833846.5
53.8047217,1.3835641,-1843269.2
53.7888789,1.327834,-1847003.9
