Lat,Lon,Chi
54.3835034,1.7544198,-1850089.1
54.4106805,1.6903184,-1857506.5
54.3987552,1.6752412,-1858013.6
54.4324032,1.5914907,-1867580.0
54.3375477,1.7848703,-1844332.2
54.4392917,1.6543762,-1862570.5
54.3541335,1.5649511,-1864601.1
54.3491031,1.4959593,-1870268.6
54.3304238,1.7059783,-1850720.2
54.4076754,1.698296,-1856609.2
54.429003,1.6306668,-1863939.4
54.3790571,1.767444,-1848654.9
54.4220911,1.605381,-1865674.1
54.4159224,1.5622224,-1869015.0
54.4299633,1.6651859,-1860997.9
54.3890013,1.5534508,-1867959.1
54.3795882,1.6421659,-1859598.9
54.3942232,1.6635753,-1858723.5
54.4362285,1.6153864,-1865757.9
54.3611582,1.5664419,-1864946.4
54.3299705,1.6380094,-1856607.6
54.4099897,1.6085577,-1864579.2
54.3336505,1.5663113,-1863098.8
54.3459479,1.7757073,-1845697.5
54.3467507,1.5694943,-1863707.9
54.4314303,1.5668777,-1869657.2
54.3753619,1.7685984,-1848303.8
54.3758704,1.701158,-1854210.6
54.4265264,1.5713358,-1868937.9
54.3522409,1.4989675,-1870219.4
54.3291569,1.5172935,-1867063.8
54.3400324,1.5369666,-1866085.8
54.3307107,1.6292906,-1857416.4
54.4080187,1.6590153,-1860053.0
54.3749678,1.5210488,-1869832.4
54.3726565,1.5879583,-1863850.1
54.3917173,1.7539963,-1850680.5
54.3317609,1.6068835,-1859438.9
54.326545,1.6794539,-1852767.2
54.4153768,1.6764621,-1859030.9
54.3636039,1.5899127,-1863068.4
54.3836889,1.5088163,-1871486.8
54.3473987,1.7704485,-1846254.1
54.3409066,1.637701,-1857373.5
54.3851527,1.6769034,-1856950.1
54.4336876,1.5199439,-1873896.2
54.4370088,1.633368,-1864244.6
54.3877919,1.7494747,-1850809.1
54.3696365,1.6844694,-1855243.0
54.3783826,1.5195151,-1870196.6
54.4062115,1.6537179,-1860392.0
54.413796,1.6587316,-1860468.0
54.415917,1.6621586,-1860313.1
54.412422,1.6707213,-1859331.4
54.3823034,1.4920243,-1872855.8
54.3646187,1.7901047,-1845705.6
54.3499501,1.7879056,-1844905.8
54.413781,1.51026,-1873394.5
54.3814105,1.7553431,-1849866.9
54.424031,1.64231,-1862588.9
54.4043608,1.726387,-1853939.5
54.3910234,1.7284199,-1852860.9
54.402874,1.5540787,-1868842.5
54.4452677,1.6021514,-1867521.0
54.398775,1.6809167,-1857520.9
54.4356317,1.6715221,-1860829.8
54.3912952,1.7462239,-1851329.1
