LAT,LNG,EASTING,NORTHING,TURBNUM
53.681258,1.422626,626000,426000,231.0
53.681258,1.422626,626000,426000,180.0
53.959745,1.541901,632326,457349,165.0
53.681258,1.422626,626000,426000,174.0
