Lat,Lon
53.492878355,0.714617792
53.486257927,0.736511481
53.494882271,0.766137536
53.494865969,0.779243323
53.494025281,0.788897375
53.493178081,0.801393448
53.492112907,0.812833965
53.493411513,0.819405503
53.494819659,0.832067494
53.49517476,0.836232573
53.495398149,0.838915404
53.495544337,0.84071686
53.496048715,0.846397747
53.495950539,0.853201837
53.492771677,0.869650881
53.492760897,0.877071919
53.492735173,0.886726993
53.492923625,0.907138322
53.495175055,0.927720299
53.49482148,0.933791057
53.494496313,0.942983089
53.494599075,0.944749936
53.491868797,0.965367947
53.492997438,0.972641783
53.493481028,0.980473325
53.493186591,0.995004266
53.495413327,1.026952295
53.495954039,1.044944537
53.49661087,1.062349425
53.496294569,1.070475194
53.49685302,1.072219195
53.497452125,1.074059685
53.498981417,1.07826144
53.500678351,1.083477556
53.502743147,1.089457488
53.507590327,1.089485563
53.54368143,1.078321086
53.548696357,1.078255344
53.551902812,1.078254435
53.562313893,1.078581448
53.574049271,1.078467146
53.579382763,1.078401709
53.586315904,1.078481458
53.590860063,1.078408839
53.600483142,1.078493902
53.605752331,1.078316384
53.611943143,1.07846631
53.616184047,1.078146651
53.618136679,1.07810488
53.622370305,1.078176224
53.626239715,1.078427105
53.630111026,1.078188187
53.636353663,1.078154484
53.640485382,1.078051762
53.641495776,1.078067566
53.642438602,1.078049848
53.651779485,1.078399237
53.656008559,1.078024678
53.660071058,1.077938272
53.664405772,1.078039617
53.665352501,1.078020377
53.673024501,1.078374259
53.680389061,1.078196529
53.685863576,1.078067798
53.689832876,1.078209767
53.69169286,1.078238413
53.696940877,1.078053024
53.74052772,1.096549519
53.7586336,1.1365147
53.7586138,1.1406611
53.7586038,1.1465913
53.7586164,1.1556594
53.758712,1.1626986
53.7586227,1.166963
53.7587347,1.1719267
53.7586966,1.1736241
53.7586794,1.1766876
53.7587414,1.1786664
53.7586812,1.1846437
53.7586609,1.188673
53.7587161,1.191592
53.7587393,1.1946398
53.7587066,1.1965771
53.7586038,1.2007963
53.7586524,1.2057247
53.758726,1.2079574
53.7585832,1.2139905
53.7585945,1.2149853
53.7586481,1.2214743
53.697975,1.2767965
53.6850476,1.2779582
53.6822792,1.2779096
53.6748986,1.2778206
53.6628728,1.2769319
53.6606954,1.2769747
53.6483071,1.2774964
53.6392263,1.2774273
53.6306475,1.2777452
53.6171852,1.2770944
53.6166764,1.2776146
53.6159103,1.2786592
53.614128,1.2810164
53.6133611,1.2820911
53.6126318,1.2831082
53.6123947,1.2868251
53.6124238,1.2916515
53.61212,1.3026674
53.611909,1.3125715
53.6122229,1.3168153
53.6123408,1.3213161
53.6122216,1.3262519
53.6119549,1.3325977
53.6118083,1.3397845
53.6111554,1.3525116
53.6121616,1.3643874
53.6123625,1.3700291
53.6122954,1.3736836
53.6123361,1.3747909
53.612356,1.3782254
53.612084,1.3881547
53.6097064,1.4113584
53.6073285,1.4381737
53.606828,1.4411875
53.6068287,1.4458451
53.606745,1.4484391
53.6066349,1.4544333
53.6065006,1.4581423
53.606283,1.464415
53.6057482,1.4778745
53.6056659,1.4878023
53.6054537,1.4938333
53.6052714,1.4988386
53.6050603,1.501437
53.6049634,1.5087325
53.6048176,1.5112457
53.6046919,1.5161344
53.6045015,1.5247376
53.6044114,1.5271797
53.604405,1.5307478
53.6042444,1.535573
53.6039927,1.5383041
53.6038524,1.5433427
53.6038406,1.5467741
53.6036121,1.5529545
53.6036183,1.5542554
53.6124476,1.5827049
53.6125028,1.5884541
53.6125414,1.5980053
53.6125043,1.6005896
53.6126399,1.607147
53.6124616,1.6158185
53.6154333,1.6156843
53.623654,1.6158363
53.6301068,1.6160146
53.6365927,1.6159035
53.64606,1.6159647
53.6545158,1.6155476
53.6562939,1.6155808
53.6627799,1.6157491
53.7216604,1.6777332
53.7219036,1.6795956
53.7221136,1.6913925
53.7221378,1.6947712
53.7222501,1.7006755
53.7221125,1.7049478
53.722036,1.7146077
53.7214487,1.7202428
53.7217537,1.7306615
53.7214831,1.7391719
53.7220596,1.7478477
53.7219741,1.7528466
53.7216749,1.7613569
53.7222018,1.769353
53.7224357,1.776257
53.7222053,1.7812556
53.7215232,1.7868407
53.7217484,1.79502
53.7214087,1.8059373
53.7193972,1.8170323
53.7202504,1.8405939
53.7200749,1.845348
53.7212786,1.858285
53.7223408,1.8710538
53.7222941,1.8724771
53.7220018,1.8762465
53.7222859,1.8853332
53.7220005,1.8903291
53.721779,1.8944469
53.7217784,1.8944604
53.7215228,1.9036221
53.7219637,1.9069889
53.7222607,1.9140434
53.7219933,1.9236273
53.7220197,1.926982
53.7221657,1.9329104
53.7221182,1.9363028
53.7220649,1.9461099
53.7218278,1.9579167
53.7219678,1.9615697
53.7225071,1.9794706
53.7220205,1.9848994
53.7222605,1.989305
53.721652,2.0032149
53.7218719,2.0073913
53.7218077,2.0243102
53.662140592,2.080913729
53.661519736,2.080935448
53.658623636,2.081027077
53.657992477,2.081031748
53.656884225,2.081033731
53.655008436,2.08100388
53.653619463,2.081021266
53.652565213,2.08102757
53.647425812,2.080938326
53.642616014,2.080977423
53.641104557,2.081017651
53.63954297,2.081029723
53.637626885,2.081015555
53.636572874,2.080993748
53.634293876,2.080949512
53.632441051,2.080950404
53.628645074,2.080986902
53.625538484,2.081099548
53.621873357,2.081026147
53.619662221,2.080914842
53.616539547,2.081000535
53.615596515,2.08100295
53.612438098,2.081089579
53.610052683,2.08107176
53.608797899,2.081036819
53.606326557,2.081011779
53.602530176,2.081096728
53.59730796,2.081085042
53.594844323,2.081108262
53.59103228,2.081161787
53.5880506,2.081106464
53.584972299,2.081119992
53.580864297,2.080979189
53.57488112,2.081161484
53.571088597,2.081172679
53.568031352,2.081093699
53.563321191,2.08109051
53.561151203,2.081125199
53.553329396,2.081350293
53.551478082,2.081277636
53.550149431,2.081314103
