Lat Lon Depth
54.410360010 001.170714689 -54.000
54.471399977 001.235406762 -47.000
54.480899416 001.354001961 -53.000
54.388058171 001.115581000 -38.000
54.506201849 001.460968977 -27.500
54.439318745 001.342805792 -58.000
54.444617827 001.262271859 -57.000
54.472486927 001.269757928 -45.000
54.388511674 001.281954861 -37.000
54.503164285 001.211826265 -47.000
54.499288866 001.119378440 -66.000
54.495755674 001.210540357 -60.000
54.494998467 001.417224231 -47.000
54.463134914 001.115457814 -56.000
54.466183268 001.412438194 -45.000
54.497645063 001.465200378 -29.100
54.398306088 001.317003002 -56.000
54.430197071 001.270796382 -45.000
54.492994079 001.470442412 -38.000
54.478093780 001.127926412 -52.000
54.383704242 001.081659338 -48.000
54.491823059 001.362185608 -49.000
54.416270470 001.204541272 -51.000
54.419190388 001.347138026 -50.000
54.439549317 001.172327641 -58.000
54.467507827 001.294496320 -46.000
54.472835247 001.195146034 -59.000
54.409249310 001.153426511 -60.000
54.453546120 001.186768041 -45.000
54.411487448 001.289343752 -58.000
54.417898198 001.305797937 -43.000
54.447268671 001.365031932 -56.000
54.452727308 001.127902486 -58.000
54.430611010 001.092624080 -58.000
54.453047373 001.226076985 -56.000
54.391559725 001.230099741 -54.000
54.453953639 001.304552395 -59.000
54.400251893 001.069931539 -35.000
54.416375592 001.116478731 -57.000
54.402877718 001.075143406 -39.000
54.447782082 001.388739627 -57.000
54.429933910 001.323731562 -60.000
54.439607233 001.393426567 -58.000
54.387154182 001.336043424 -44.000
54.387651422 001.182431259 -60.000
54.423823417 001.153143097 -43.000
54.402137881 001.247678009 -44.000
54.475823130 001.098595752 -46.000
54.477886963 001.328961978 -58.000
54.444991199 001.399019560 -57.000
54.446012345 001.386269769 -58.000
54.389571490 001.279989831 -35.000
54.401472469 001.235245321 -34.000
54.504318982 001.217894665 -46.000
54.477981132 001.086546174 -46.000
54.504414142 001.198242110 -51.000
54.471797616 001.078439270 -56.000
54.486421869 001.212427134 -59.000
54.499011155 001.407924380 -48.000
54.480536771 001.087750717 -48.000
54.402334993 001.107701880 -52.000
54.502282719 001.083230449 -57.000
54.477881995 001.375801399 -52.000
54.418856907 001.214741580 -56.000
54.420383508 001.326309618 -48.000
54.412211440 001.090585592 -54.000
54.440315189 001.377080845 -57.000
54.501482734 001.302135654 -51.000
54.471642146 001.136592424 -52.000
54.503258284 001.345762864 -49.000
54.405140434 001.335957182 -56.000
54.484702094 001.240352383 -55.000
54.482701725 001.326067344 -57.000
54.445429115 001.222770381 -45.000
54.482000334 001.143515606 -55.000
54.399661660 001.147937523 -60.000
54.495943271 001.160427681 -67.000
54.499166820 001.224202147 -53.000
54.466614548 001.282591915 -45.000
54.498652500 001.430430940 -41.000
54.455989048 001.089473662 -58.000
54.445413916 001.288686995 -57.000
54.456139932 001.240177985 -59.000
54.467828173 001.337776536 -45.000
54.421688803 001.296672005 -45.000
54.460284482 001.358024873 -51.000
54.472164759 001.261694932 -46.000
54.425038407 001.359105168 -57.000
54.501237846 001.278145146 -54.000
54.457294957 001.325866613 -49.000
54.471464671 001.356269091 -51.000
54.464831246 001.392799683 -39.000
54.475783741 001.249982080 -49.000
54.507753176 001.065880150 -58.000
54.497437591 001.216061152 -57.000
54.437418950 001.137423505 -58.000
54.457483508 001.185426374 -47.000
54.422744582 001.097343090 -60.000
54.491902147 001.444850499 -44.000
54.415622184 001.147997812 -58.000
54.449019951 001.208332302 -45.000
54.463356723 001.288098500 -48.000
54.384479040 001.146580167 -50.000
54.410678825 001.337393946 -49.000
54.506041391 001.411996654 -25.800
54.485174816 001.110281587 -54.000
54.457583741 001.067099891 -56.000
54.493963459 001.172252328 -67.000
54.448471922 001.063387842 -49.000
54.449829913 001.311170323 -58.000
54.473680134 001.088627496 -51.000
54.400408396 001.076801210 -36.000
54.447886602 001.303684953 -56.000
54.431444165 001.194774337 -56.000
54.460812679 001.141161210 -49.000
54.397544194 001.212554443 -53.000
54.499154865 001.421275395 -43.000
54.455348933 001.135642542 -57.000
54.409034688 001.175642583 -53.000
54.433561695 001.149770031 -57.000
54.396431561 001.224499448 -51.000
54.473197483 001.155657939 -55.000
54.439624337 001.092936975 -44.000
54.386992897 001.099935637 -38.000
54.388715017 001.128190649 -45.000
54.428219282 001.159959298 -55.000
54.472777692 001.164800941 -58.000
54.474995924 001.347844533 -55.000
54.402038842 001.116294644 -53.000
54.433401641 001.306329483 -59.000
54.420183159 001.257986478 -57.000
54.476394002 001.429076526 -53.000
54.385964543 001.322171202 -40.000
54.486803838 001.409789697 -51.000
54.395161857 001.180343612 -61.000
54.435127165 001.081517764 -58.000
54.493861744 001.070607674 -52.000
54.478216358 001.185889637 -53.000
54.384849902 001.280127284 -42.000
54.428335704 001.258011256 -49.000
54.414557789 001.229223062 -54.000
54.395965991 001.129722582 -59.000
54.457180901 001.392083201 -47.000
54.458791328 001.213274510 -60.000
54.397399229 001.348655029 -57.000
54.432322173 001.170676241 -58.000
54.419658187 001.187204404 -51.000
54.437425475 001.090916456 -49.000
54.402201276 001.091301025 -44.000
54.442914209 001.391707925 -58.000
54.475311009 001.302705173 -53.000
54.412809959 001.303056109 -55.000
54.467200131 001.423818514 -48.000
54.461590495 001.214393357 -61.000
54.495285574 001.260331920 -58.000
54.427564760 001.220638644 -58.000
54.409747968 001.243062995 -52.000
54.461337574 001.392989809 -41.000
54.476420394 001.449431158 -50.000
54.446389434 001.270170142 -56.000
54.402460007 001.323735415 -59.000
54.386779432 001.266049891 -43.000
54.420231256 001.345282414 -51.000
54.401804020 001.226548175 -39.000
54.389057585 001.220899201 -55.000
54.451834075 001.351786131 -53.000
54.387127420 001.342147300 -47.000
54.494073671 001.471281390 -37.000
54.500557882 001.185607242 -58.000
54.398899261 001.215068488 -52.000
54.480331132 001.396008518 -53.000
54.487918375 001.276044046 -59.000
54.413535793 001.326608494 -43.000
54.508244620 001.104236011 -66.000
54.459368736 001.163082500 -41.000
54.412195445 001.340467680 -45.000
54.430088039 001.139468517 -48.000
54.502205865 001.460313825 -28.400
54.472630168 001.117694402 -44.000
54.411913846 001.200360700 -43.000
54.405094146 001.240009354 -46.000
54.434037650 001.396192961 -57.000
54.409006796 001.181046311 -52.000
54.443850499 001.212268958 -48.000
54.394311902 001.319116538 -51.000
54.491107175 001.160714095 -64.000
54.459147240 001.116457906 -59.000
54.468584854 001.073388581 -58.000
54.491123569 001.268032612 -58.000
54.439961849 001.251356671 -49.000
54.387047660 001.117474210 -36.000
