Lat Lon Depth
53.695888900 002.398742900 -26.600
53.785459800 002.264918800 -34.000
53.669157000 002.471097900 -24.000
53.713037200 002.327510900 -28.300
53.676153600 002.540517800 -26.500
53.683862400 002.344109400 -24.300
53.724812700 002.419900200 -29.700
53.776881200 002.249660600 -32.000
53.656148600 002.457271400 -20.900
53.748905000 002.331137000 -30.200
53.754536600 002.246634200 -30.200
53.701857400 002.274108500 -27.800
53.721806000 002.394220200 -28.100
53.695588500 002.428694700 -26.100
53.675045200 002.542602400 -26.600
53.724805800 002.268956000 -31.000
53.675024300 002.287753000 -23.900
53.691732400 002.512794900 -28.500
53.679280400 002.397509400 -23.600
53.691061000 002.294566900 -25.200
53.665940400 002.539370200 -25.800
53.678079000 002.421455200 -23.700
53.682422300 002.479213100 -26.700
53.705739300 002.404495800 -26.600
53.698108100 002.366215700 -24.100
53.716282800 002.256573300 -31.000
53.757559400 002.329287900 -31.000
53.654677000 002.491237300 -21.800
53.663297600 002.300528000 -21.900
53.760814000 002.272635200 -30.000
53.662751500 002.385261600 -26.400
53.727919800 002.405403700 -28.200
53.661379500 002.357600800 -21.800
53.758236200 002.325836200 -32.000
53.687543800 002.479504100 -26.100
53.718168500 002.446114100 -30.700
53.761970500 002.285801700 -32.000
53.723759900 002.334785900 -29.000
53.743500900 002.334037500 -29.600
53.768542500 002.278709100 -33.000
53.685064100 002.505134400 -26.800
53.673769000 002.553827700 -28.200
53.661299200 002.366240200 -23.400
53.662670500 002.381663300 -25.500
53.682789300 002.264232300 -22.400
53.686162600 002.422615200 -25.000
53.705961000 002.292255100 -29.900
53.703601100 002.291958200 -28.700
53.698692000 002.330706500 -26.400
53.667032700 002.321234800 -22.300
53.761842800 002.251036100 -31.000
53.755988300 002.296320400 -30.800
53.743148100 002.275188700 -30.600
53.673937900 002.387949000 -23.900
53.756303300 002.251589700 -32.000
53.667606100 002.414191700 -20.800
53.742381100 002.293614800 -30.100
53.768661000 002.300597700 -33.000
53.705969100 002.278660700 -30.000
53.662039300 002.412012000 -23.700
53.690604400 002.401484800 -25.500
53.673293800 002.516746300 -26.300
53.692768300 002.507968700 -28.100
53.668622800 002.353452900 -23.500
53.658206800 002.545340300 -25.700
53.721614800 002.258837500 -32.000
53.713711000 002.348925700 -28.300
53.708777900 002.365735100 -27.800
53.710715100 002.330781400 -28.700
53.658417400 002.477191600 -21.500
53.668901000 002.508015400 -26.800
53.689648700 002.291562900 -24.800
53.675257500 002.284989100 -23.600
53.701629500 002.247545000 -27.500
53.666744600 002.267294000 -26.000
53.671018900 002.276045800 -24.200
53.724147600 002.292181400 -29.900
53.718435500 002.433412100 -29.300
53.695129100 002.345685600 -24.600
53.755634400 002.336714400 -31.000
53.687927600 002.356023500 -23.100
53.687635200 002.380752500 -24.000
53.694008800 002.263279100 -24.000
53.677273700 002.333857800 -24.100
53.686770600 002.465890300 -26.900
53.716229800 002.404566400 -28.000
53.702609200 002.446014700 -27.400
53.703712300 002.266762500 -28.800
53.686140500 002.326522400 -24.500
53.705970300 002.369725700 -26.300
53.674654300 002.443721100 -23.900
53.730461500 002.364551900 -28.700
53.783572700 002.272262100 -33.000
53.727947400 002.363547200 -28.400
53.712110100 002.444925700 -28.600
53.662325900 002.453237900 -19.700
53.744838800 002.366615300 -28.800
53.679167300 002.424684200 -23.400
53.663715800 002.500722900 -25.700
53.715439300 002.383792400 -28.600
53.686066300 002.449401600 -25.300
53.697210500 002.258677300 -25.100
53.687703300 002.452058700 -25.900
53.727652300 002.284682000 -30.300
53.775231700 002.249439200 -32.000
53.706415900 002.448180800 -28.100
53.699107300 002.285692600 -27.400
53.688322300 002.436686200 -25.500
53.665607700 002.249354000 -24.000
53.695538700 002.505306200 -29.100
53.734330400 002.258206800 -32.000
53.671477200 002.412498300 -21.900
53.701147000 002.428331400 -27.200
53.668326600 002.447475300 -23.400
53.663795600 002.386242100 -26.400
53.727409600 002.356659200 -28.500
53.665635900 002.314444100 -21.900
53.663449400 002.547817200 -26.400
53.757727500 002.294002200 -30.200
53.687046900 002.305130500 -25.400
53.689257200 002.520280700 -28.000
53.675758400 002.530585200 -26.100
53.722529200 002.425536600 -29.300
53.656286400 002.486244600 -22.100
53.759846800 002.251925100 -30.600
53.669521900 002.317663300 -21.100
53.655182300 002.487916000 -21.900
53.658487700 002.402487000 -26.000
53.741078800 002.384285200 -28.300
53.727250600 002.406346900 -28.200
53.733148700 002.247480900 -33.000
53.683578000 002.364382700 -24.300
53.776488100 002.285058300 -34.000
