Lat Lon Depth
54.525044300 000.643760100 -61.100
54.390363300 000.601059400 -64.400
54.482312800 000.745777000 -55.900
54.479792700 000.622080700 -58.600
54.522308000 000.698015800 -61.000
54.533240600 000.551846300 -60.200
54.401170900 000.683135300 -61.800
54.421520200 000.691433700 -57.000
54.359328700 000.623495800 -58.200
54.467646500 000.693597800 -59.200
54.502086700 000.572378900 -57.700
54.396747300 000.548339100 -64.900
54.500817400 000.675946400 -60.900
54.495627100 000.648331400 -60.600
54.472410900 000.635747600 -58.900
54.483916200 000.637908500 -60.000
54.483980800 000.685978900 -60.200
54.540526800 000.760340100 -61.500
54.402284300 000.671851000 -63.300
54.425283000 000.619692100 -66.000
54.543619600 000.571575100 -59.700
54.520787300 000.760182300 -59.100
54.488438400 000.766525600 -55.600
54.364012400 000.563707400 -64.900
54.463073100 000.571380600 -63.700
54.349621400 000.572044700 -63.100
54.351158200 000.591809500 -63.100
54.441726500 000.534582300 -64.900
54.496261200 000.597589400 -58.100
54.396435100 000.644753900 -63.400
54.491364600 000.571813400 -58.400
54.474577900 000.766006400 -53.700
54.415394900 000.700019000 -56.000
54.440831700 000.717117300 -53.600
54.437782400 000.719583600 -52.700
54.506420300 000.669762400 -59.300
54.432795900 000.706237500 -53.800
54.353512700 000.619323400 -58.800
54.394202300 000.556454400 -64.100
54.441678900 000.597324800 -64.500
54.384792000 000.609270900 -64.300
54.376569200 000.652823800 -63.200
54.410996500 000.655124300 -64.300
54.537984900 000.781025900 -65.000
54.453488100 000.657828800 -56.500
54.495375400 000.583555900 -57.900
54.526119400 000.536100500 -59.100
54.507252800 000.623129100 -60.800
54.517331200 000.674384100 -60.100
54.511513400 000.697489300 -60.200
54.529479200 000.651018300 -61.400
54.542583100 000.704364000 -61.200
54.506807300 000.612981600 -60.200
54.450448700 000.636943200 -60.300
54.523390800 000.609389000 -59.600
54.426717100 000.574761100 -65.800
54.449946400 000.714790000 -55.900
54.455111700 000.602264500 -61.700
54.519743100 000.632908800 -61.900
54.508774800 000.550768300 -58.000
54.397156800 000.673612900 -62.900
54.467076900 000.656394900 -58.900
54.522515800 000.580633600 -59.000
54.477448200 000.611201300 -58.800
54.523143900 000.570565700 -59.900
54.526669700 000.757704400 -59.900
54.398066500 000.562041300 -64.200
54.538965600 000.549791700 -60.200
54.520024200 000.768785400 -58.000
54.514177700 000.726993000 -58.700
54.421512200 000.545066100 -66.900
54.543353000 000.722537800 -61.300
54.470428500 000.633073300 -59.400
54.465617100 000.655327900 -59.500
54.529802100 000.675941800 -60.600
54.542434800 000.635360100 -62.700
54.464608700 000.593329800 -61.900
54.465766100 000.621754200 -59.200
54.524201500 000.772066700 -59.200
54.477657300 000.541960800 -62.400
54.406901000 000.547304500 -65.300
54.472098000 000.709218600 -58.600
54.458345200 000.687786400 -58.400
54.477624800 000.550326000 -67.000
54.503858800 000.583705300 -60.000
54.355301600 000.574231400 -63.900
54.462880100 000.569470300 -64.400
54.459236900 000.729000200 -55.900
54.488878300 000.563164200 -60.500
54.432093400 000.631461100 -64.200
54.470673300 000.597263700 -59.400
54.377623300 000.587301900 -63.700
54.477446100 000.540033500 -60.300
54.489134000 000.778525400 -55.600
54.446040600 000.573320700 -64.100
54.542004200 000.660767900 -61.900
54.480703700 000.671590700 -60.600
54.495160800 000.535541600 -63.300
54.515875200 000.719488000 -59.900
54.505786500 000.605300300 -59.200
54.482031900 000.702016600 -59.500
54.469618100 000.723548300 -57.200
54.369019400 000.551855800 -65.400
54.453508700 000.684537800 -58.000
54.390234900 000.605349200 -64.500
54.539026700 000.606367200 -61.800
54.361509600 000.624081300 -59.900
54.383791500 000.635037700 -63.300
54.471869000 000.742869700 -55.500
54.435815400 000.530516000 -65.700
54.502336100 000.530332500 -60.400
54.442313200 000.714007100 -54.500
54.417153000 000.654797900 -63.400
54.401456900 000.649438000 -63.100
54.472449600 000.761972700 -54.500
54.471567500 000.577763700 -62.400
54.349658500 000.603426700 -62.100
54.425302500 000.602995400 -65.600
54.432826000 000.668534300 -59.700
54.478813800 000.557872000 -64.200
54.438883600 000.641227700 -62.100
54.434841300 000.708839900 -53.400
54.493878000 000.584635200 -57.800
54.539722600 000.739968900 -62.100
54.502133400 000.775437800 -56.900
54.365791400 000.560369600 -64.900
54.397194300 000.653169200 -61.600
54.459144300 000.536523100 -62.100
54.439214300 000.686949200 -55.700
54.341907600 000.590119400 -61.300
54.505482700 000.691360300 -58.500
54.385924500 000.610528800 -63.900
54.522336500 000.731570900 -59.000
54.495686700 000.748712800 -56.900
54.363377100 000.603863700 -61.400
54.524626700 000.587026300 -59.100
54.486816900 000.541587400 -65.000
54.426438500 000.685758200 -57.400
54.447559500 000.735304100 -54.100
54.543287700 000.758330900 -61.800
54.521086600 000.753371500 -59.900
54.411749800 000.690130400 -60.300
54.494212800 000.620007900 -59.000
54.472329300 000.633720200 -58.900
54.434343000 000.573389000 -66.800
54.435832400 000.678924000 -57.300
54.444000900 000.546553800 -64.500
54.395512000 000.620305100 -64.200
54.402550200 000.562998900 -64.100
54.430945400 000.713779500 -51.900
54.394529000 000.533288200 -66.600
54.514123800 000.676724000 -59.300
54.466808200 000.759014900 -53.700
54.436487300 000.722397300 -52.300
54.382369700 000.575556300 -64.000
54.464521200 000.557798000 -66.800
54.439537300 000.682528400 -56.100
54.456258200 000.540819100 -60.100
54.440246000 000.638122700 -62.100
54.471074600 000.749731800 -54.500
54.463532300 000.688203600 -59.600
54.433915900 000.596694700 -66.600
54.477032500 000.538325200 -59.300
54.523516400 000.671944700 -59.300
54.395314400 000.553611700 -63.700
54.412958800 000.687111500 -60.900
54.440180000 000.594284000 -64.600
54.355549800 000.584482400 -64.800
54.383320200 000.658573300 -62.900
54.361201100 000.628341200 -57.700
54.431257400 000.719490400 -50.900
54.346589000 000.616066700 -59.200
54.356552200 000.625489100 -57.900
54.465284700 000.544635000 -58.900
54.413501300 000.653236200 -64.800
54.438284700 000.633246300 -61.500
54.467772000 000.555423400 -67.400
54.385810100 000.558366100 -66.700
54.352443200 000.620132600 -60.300
54.409772600 000.656000700 -65.200
54.374032300 000.559666100 -67.100
54.492390900 000.640106900 -61.900
54.382766500 000.595218800 -64.400
54.466990400 000.618776600 -59.200
54.368390300 000.537359500 -63.600
54.465620400 000.722217700 -57.000
54.438935600 000.616121800 -63.900
54.349740500 000.580362600 -61.700
54.431253300 000.535862900 -64.000
54.540819100 000.778976600 -65.400
54.410976800 000.686488600 -61.900
54.412183900 000.698066100 -58.000
54.359355800 000.619356700 -58.700
54.467083800 000.589427400 -61.800
54.440700500 000.736065300 -52.100
54.355119400 000.586948900 -64.500
54.469798000 000.717154600 -56.900
54.383088900 000.660499100 -61.700
54.501760400 000.696213200 -59.500
54.527056600 000.596129400 -60.200
54.537338900 000.599163200 -61.300
54.508961100 000.623949400 -60.300
54.514280300 000.716446100 -60.100
54.503809800 000.562786100 -58.100
54.514130700 000.699856000 -60.200
54.531275000 000.547008900 -60.300
54.526370100 000.544276800 -58.900
54.523548700 000.707664600 -60.400
54.502747500 000.655697300 -60.000
54.522255600 000.746247900 -59.600
54.398951600 000.561850000 -64.400
54.535682400 000.763816300 -60.800
54.492498800 000.612809600 -58.400
54.510924500 000.702116700 -60.600
54.526451300 000.607126700 -60.300
54.527525100 000.771797300 -59.500
54.452827700 000.710598900 -56.800
54.512619000 000.774140400 -57.100
54.428855900 000.585735100 -66.300
54.514457700 000.751920800 -58.800
54.422474900 000.533917700 -66.600
54.508945200 000.588414100 -60.200
54.541111500 000.705441800 -61.200
54.505267200 000.672715100 -60.000
54.545546100 000.568062500 -59.900
54.500416400 000.726462300 -58.700
54.443367900 000.698636100 -55.800
54.537811000 000.571627200 -58.700
54.386097100 000.574881000 -64.500
54.538396400 000.688517600 -60.800
54.534848100 000.626229000 -62.200
54.535445100 000.734719400 -61.200
54.544618400 000.656763000 -61.700
54.456173000 000.697704400 -58.500
54.447106900 000.714725400 -55.300
54.521769400 000.698382100 -60.900
54.513155000 000.581155700 -59.900
54.481582500 000.648010000 -60.600
54.513573400 000.730661200 -58.800
54.443868200 000.606286600 -63.900
54.424273800 000.564108400 -65.900
54.502832200 000.626321500 -61.000
54.509698700 000.535484400 -58.100
54.502030900 000.735776600 -57.700
54.352581600 000.572352900 -63.700
54.516249800 000.620739200 -60.700
54.517495300 000.741292300 -58.700
54.539868800 000.547034200 -59.700
54.408727200 000.568886400 -65.600
54.518360500 000.551505100 -58.700
54.517636800 000.663803100 -59.500
54.457294900 000.640438600 -59.600
54.403764100 000.654086700 -63.400
54.499465700 000.643420800 -61.300
54.538891000 000.531095100 -59.700
54.532890700 000.659015300 -61.000
54.531893500 000.613641600 -61.500
54.529992500 000.568955900 -60.000
54.419982800 000.548100700 -67.300
54.512025600 000.655279600 -60.800
54.491735100 000.554772100 -60.200
54.538041700 000.631505400 -62.500
54.484944200 000.777361000 -55.200
54.415705400 000.586895400 -65.600
54.476473800 000.685177900 -59.800
54.489975200 000.729797600 -57.400
54.455513100 000.606162800 -61.000
54.397881500 000.660347500 -63.000
54.532542900 000.575423200 -59.000
54.507418000 000.564325200 -58.400
54.542835500 000.582627800 -60.100
54.448445100 000.719982100 -55.500
54.478836400 000.585106400 -60.000
54.445427900 000.565353500 -65.600
54.543960900 000.684492200 -61.300
54.485065400 000.532523300 -64.000
54.487719900 000.614296000 -58.000
54.458325600 000.581112600 -63.100
54.469820700 000.648129700 -59.400
54.496762000 000.609807300 -58.200
54.540017300 000.651763500 -61.800
54.516893800 000.670585000 -60.000
54.453759400 000.676484700 -57.500
54.449752800 000.569974500 -65.100
54.497518800 000.625918900 -59.900
54.541454100 000.742899100 -61.600
54.451357300 000.602936500 -62.900
54.476874100 000.735053500 -56.200
54.497546800 000.535797400 -61.900
54.521476900 000.767770900 -58.400
54.485031600 000.695713800 -59.800
54.514388000 000.641016300 -62.000
54.500493200 000.713862600 -59.400
54.500048400 000.675355500 -60.900
54.461326400 000.723259700 -55.900
54.397284800 000.614840600 -64.500
54.484588900 000.570415100 -60.900
54.414270000 000.544031500 -65.600
54.533089200 000.719597200 -59.900
54.506235500 000.592367500 -60.200
54.534808200 000.674383300 -61.000
54.458554700 000.635443000 -59.500
54.484504700 000.721218400 -58.200
54.388565000 000.642044600 -63.300
54.502655800 000.586147200 -59.300
54.523730600 000.642577900 -61.300
54.512743000 000.545901600 -58.000
54.505262500 000.758532600 -58.100
54.411477900 000.598296700 -64.900
54.456004100 000.729232600 -55.700
54.407339800 000.647243800 -63.900
54.460177200 000.680190700 -58.700
54.493295200 000.748320500 -56.400
54.526172100 000.760205800 -59.800
54.417217400 000.650639900 -64.700
54.406290000 000.677305100 -62.000
54.486893200 000.681954300 -60.700
54.524097700 000.767963800 -58.600
54.511585700 000.590636000 -59.300
54.396240800 000.540388500 -66.000
54.390527600 000.534181500 -66.100
54.515048700 000.529434400 -58.400
54.437393800 000.606769800 -65.000
54.476275600 000.722941100 -57.700
54.538878600 000.646293700 -61.600
54.452864700 000.589269900 -63.700
54.404718900 000.607392800 -65.200
54.442169000 000.680618100 -56.300
54.391634700 000.591696300 -64.500
54.411244800 000.629816800 -63.700
54.431987800 000.662928300 -61.200
54.530208300 000.583716000 -59.400
54.541866100 000.566517000 -59.200
54.534447000 000.555168000 -60.600
54.481709100 000.681398700 -60.200
54.472308600 000.748842200 -54.700
54.375810700 000.634510900 -61.600
54.522276500 000.620584400 -61.500
54.382380300 000.617265600 -63.700
54.498918100 000.595688300 -58.900
54.415001100 000.664739800 -63.100
54.447403900 000.580625800 -63.200
54.466508200 000.602401500 -60.200
54.435397500 000.708491100 -53.500
54.407469100 000.580242900 -65.500
54.342792100 000.606239200 -62.200
54.511017800 000.614084800 -60.700
54.467020500 000.756806600 -53.800
54.478266300 000.562500100 -63.600
54.545498400 000.534535100 -61.100
54.384955200 000.646772400 -62.900
54.383440900 000.643671400 -63.900
54.376206000 000.571597400 -64.900
54.380041300 000.621059400 -63.000
54.467303900 000.658338900 -59.500
54.518330100 000.650666500 -61.400
54.481535700 000.779754700 -54.500
54.480329200 000.694925800 -59.900
54.449525100 000.554008600 -63.800
54.394751800 000.652225800 -62.400
54.492910600 000.763213800 -56.200
54.492405300 000.541749000 -63.100
54.463756600 000.702725400 -58.500
54.491139600 000.548913000 -61.500
54.516302000 000.721293400 -59.500
54.365546800 000.566805100 -64.200
54.335806300 000.592489400 -62.400
54.376610900 000.594260400 -63.500
54.495658500 000.757051300 -56.800
54.440935800 000.691997900 -55.100
54.542753100 000.607826300 -61.200
54.481792900 000.758727300 -54.900
54.369255700 000.614305600 -61.900
54.533679400 000.746381500 -61.100
54.538782800 000.715476800 -60.400
54.532327800 000.778770400 -60.700
54.496564100 000.639202200 -61.900
54.412911100 000.595196800 -65.300
54.520251400 000.615710300 -60.100
54.452390600 000.547738100 -62.900
54.524457900 000.535162900 -58.900
54.370846300 000.579669500 -64.400
54.505435800 000.701924100 -58.800
54.459923800 000.661563800 -58.000
54.408272200 000.642433700 -62.700
54.391438100 000.623265100 -63.900
54.499782300 000.575045300 -57.400
54.411557400 000.541782800 -65.000
54.483625400 000.761552800 -54.400
54.543690800 000.617689700 -62.100
54.456631400 000.557213200 -65.200
54.459546500 000.745486400 -54.400
54.502864200 000.774931200 -57.200
54.432996500 000.697676300 -54.000
54.445149900 000.636695000 -61.400
54.523524200 000.703536400 -60.600
54.504656600 000.551654800 -58.200
54.420922000 000.537228800 -66.500
54.487968900 000.586856400 -57.900
54.490455300 000.635287500 -60.800
54.495634300 000.713247100 -58.900
54.360776000 000.551406100 -64.300
54.411887200 000.679504200 -61.400
54.522012800 000.677333000 -59.800
54.431966700 000.656542600 -62.400
54.483064500 000.577823300 -59.900
54.453294500 000.641245600 -59.600
54.460741500 000.652589300 -58.500
54.391887000 000.614589600 -64.100
54.442405900 000.665856500 -58.000
54.541176500 000.772413900 -62.200
54.410850500 000.538209600 -65.400
54.407306500 000.555343500 -64.700
54.412645800 000.616234700 -64.600
54.450926700 000.624076100 -60.900
54.546377900 000.590599000 -60.100
54.435579100 000.633226900 -63.600
54.491239600 000.718376500 -58.100
54.396516800 000.665559400 -62.500
54.434272800 000.638293800 -63.600
54.533319200 000.600051600 -60.800
54.434206600 000.604901900 -65.600
54.464365300 000.654197400 -59.100
54.470965200 000.592883200 -60.300
54.472944600 000.616579300 -58.800
54.454708900 000.700863800 -57.500
54.521464000 000.728004300 -59.000
54.472312200 000.629551400 -59.000
54.407261600 000.536585400 -65.000
54.383215400 000.537334900 -65.300
54.474966600 000.552321700 -68.200
54.451669500 000.744758300 -53.500
54.477508000 000.774278500 -53.800
54.493262200 000.777678200 -55.900
54.415186900 000.627556600 -64.500
54.509406600 000.766027300 -57.900
54.362606300 000.573164300 -65.600
54.432590300 000.574636100 -66.700
54.488924600 000.703351700 -58.500
54.439659800 000.642727500 -61.900
54.462984200 000.548427400 -62.700
54.407574100 000.596724400 -65.900
54.374425100 000.616790000 -62.300
54.448918400 000.619273200 -61.200
54.493399900 000.624743500 -58.700
54.451587100 000.644499000 -59.300
54.433606900 000.555130500 -66.600
54.449904900 000.608166800 -62.400
54.480626400 000.640352200 -59.700
54.371661200 000.595749800 -62.700
54.413746300 000.669853000 -62.900
54.510580200 000.775624500 -56.900
54.522919300 000.636915300 -62.200
54.436191700 000.716362800 -52.900
54.477653400 000.537869600 -59.400
54.519965000 000.752090500 -59.400
54.493256200 000.700209000 -58.800
54.349768400 000.597077600 -63.300
54.454264300 000.594434400 -62.800
54.514350300 000.569781500 -59.600
54.542186900 000.748638600 -61.900
54.499805000 000.548958300 -58.100
54.450462200 000.701818300 -57.400
54.481108600 000.570891500 -61.600
54.492696100 000.564576900 -58.600
54.475412800 000.600111300 -58.800
54.475215600 000.773876300 -53.300
54.480280500 000.659397100 -60.900
54.423919600 000.706361500 -53.400
54.350597900 000.569258600 -64.000
54.430972000 000.667812300 -60.400
54.527498900 000.665033000 -60.200
54.476547400 000.716459800 -58.300
54.421470900 000.685171100 -58.700
54.440825200 000.539400500 -64.900
54.482074700 000.668545800 -60.300
54.509511400 000.688488900 -59.200
54.412737700 000.586939600 -65.600
54.389610800 000.543152000 -66.600
54.506781800 000.734410200 -58.100
54.476728200 000.718417000 -58.100
54.512069800 000.741083300 -58.000
54.431987600 000.679598300 -58.000
54.364602400 000.554968800 -63.500
54.470179400 000.582985900 -62.000
54.462648500 000.755740900 -53.600
54.531946900 000.689082800 -60.200
54.392055700 000.537187300 -66.800
54.362071500 000.585985100 -63.300
54.471385400 000.638660800 -58.900
54.449891300 000.656222600 -56.800
54.545251700 000.664752500 -61.900
54.437069500 000.634139900 -62.800
54.426204000 000.627367600 -65.500
54.424438200 000.708091700 -52.800
54.359859400 000.614786000 -61.100
54.459745600 000.628236100 -59.000
54.373722200 000.546280800 -65.600
54.421822200 000.693211000 -57.100
54.405974900 000.669209100 -63.700
54.510816300 000.578690500 -59.000
54.543461100 000.728900400 -62.300
54.400051600 000.625294200 -64.600
54.384507700 000.544700000 -65.000
54.481059100 000.732075200 -56.700
54.455528600 000.712829600 -57.200
54.381867500 000.567485100 -65.000
54.427839000 000.538334800 -66.100
54.363290500 000.628998200 -60.400
54.456775800 000.552932700 -64.400
54.438713200 000.724951100 -53.000
54.339200900 000.592241600 -61.400
54.432643300 000.693766900 -55.300
54.488225800 000.590810300 -57.700
54.449198600 000.669291100 -57.500
54.469638200 000.566621900 -65.400
54.351522700 000.608269500 -62.000
54.508049400 000.565925200 -58.600
54.480773400 000.589953000 -58.700
54.473471300 000.731275900 -56.700
54.438407500 000.595606300 -64.900
54.502451700 000.609861200 -59.500
54.496443900 000.660261600 -60.700
54.474465900 000.558989900 -64.800
54.481652700 000.654236800 -60.900
54.480213300 000.544388900 -67.000
54.450365400 000.634993900 -60.000
54.438166100 000.537169300 -65.600
54.422351000 000.621817500 -66.000
54.545760200 000.632930300 -63.000
54.431994100 000.627352800 -65.000
54.487435000 000.635680000 -60.500
54.452394700 000.531292100 -59.700
54.429003400 000.710983400 -51.900
54.425097700 000.672040600 -60.600
54.511029100 000.685328400 -59.300
54.445459100 000.529784200 -65.300
54.375144400 000.630849300 -62.800
54.462246800 000.559492500 -66.300
54.378008600 000.536982700 -66.000
54.399957400 000.562744800 -63.600
54.496940100 000.776861900 -56.700
54.434276600 000.567216200 -66.400
54.471064200 000.584492600 -61.500
